,elbo,pre_g_mean,pre_acsa
79,-5805.364,0.7424587,0.762
80,-5808.593,0.64532524,0.716
81,-5811.1445,0.7354369,0.76
82,-5811.825,0.7371522,0.756
83,-5807.9116,0.7581054,0.776
84,-5810.326,0.7606909,0.772
85,-5806.295,0.709469,0.748
86,-5802.2915,0.7294544,0.752
87,-5810.0913,0.75371057,0.774
88,-5805.0625,0.7346285,0.752
89,-5809.49,0.69533986,0.734
90,-5808.002,0.7136367,0.748
91,-5813.3813,0.7490381,0.766
92,-5810.4854,0.68060935,0.718
93,-5804.888,0.6390981,0.71
94,-5804.541,0.7030162,0.73
95,-5815.058,0.74836874,0.766
96,-5808.234,0.65841895,0.724
97,-5805.8467,0.74898565,0.764
98,-5804.8916,0.7300126,0.75
99,-5808.7803,0.683981,0.736
100,-5807.7,0.7167681,0.746
101,-5805.804,0.6933484,0.728
102,-5807.62,0.7388815,0.758
103,-5802.3545,0.6740639,0.74
104,-5809.2295,0.68417233,0.72
105,-5812.5674,0.6533952,0.692
106,-5810.82,0.75787777,0.772
107,-5806.7163,0.6681863,0.732
108,-5810.8193,0.71752745,0.744
109,-5812.3447,0.7273366,0.752
110,-5814.809,0.7463351,0.768
111,-5807.9844,0.72236407,0.75
112,-5806.772,0.7377751,0.758
113,-5810.9995,0.73745775,0.76
114,-5808.522,0.70898706,0.734
