,elbo,pre_g_mean,pre_acsa,o_g_mean,o_acsa
179,-86.68549,0.8567585,0.86629623,0.59996736,0.63061523
180,-86.722946,0.85934407,0.86827385,0.70762014,0.7220366
181,-86.54768,0.854352,0.86362296,0.6989493,0.72090167
182,-86.562706,0.8637362,0.8741726,0.69641054,0.7158846
183,-86.65822,0.86053103,0.87106556,0.5860708,0.61226743
184,-86.57384,0.86141676,0.8719581,0.6112625,0.6389616
185,-86.430885,0.85548115,0.86525327,0.6547915,0.6732372
186,-86.667206,0.8576242,0.86790043,0.6990604,0.72273034
187,-86.414764,0.8595518,0.8682544,0.6971226,0.7223959
188,-86.47894,0.8579241,0.8675439,0.656096,0.6850939
189,-86.60783,0.85271144,0.86242473,0.70990443,0.7267843
190,-86.72239,0.8546211,0.8635943,0.64841515,0.65495354
191,-86.59528,0.8599317,0.86743915,0.64495957,0.6707596
192,-86.71116,0.8601427,0.8691118,0.67170393,0.7054535
193,-86.55831,0.8597435,0.8697505,0.7007579,0.7230569
194,-86.5248,0.8617638,0.87012404,0.74557626,0.76771605
195,-86.561424,0.8540758,0.8612157,0.6528971,0.67819154
196,-86.60049,0.85369056,0.8617951,0.6222013,0.6447109
197,-86.415565,0.8655041,0.87401557,0.5789478,0.6089243
198,-86.74505,0.8562669,0.86800057,0.6913807,0.71171856
199,-86.603806,0.8576557,0.8672302,0.6905505,0.71385044
200,-86.71266,0.8612766,0.8690281,0.6910825,0.7194928
201,-86.56046,0.86166304,0.8716909,0.640701,0.65494424
202,-86.51734,0.85819125,0.86707866,0.65829,0.68241334
203,-86.424,0.8577706,0.8665912,0.6891251,0.700894
204,-86.59842,0.86204827,0.87238926,0.66147065,0.67945415
205,-86.67083,0.8620441,0.870135,0.6847027,0.7048917
206,-86.480995,0.85849476,0.8691014,0.6271835,0.6636881
207,-86.52443,0.86274976,0.8737293,0.6110985,0.6402882
208,-86.57067,0.8524949,0.86377823,0.6889887,0.71530765
209,-86.5467,0.8637344,0.8744467,0.63747084,0.6469967
210,-86.72578,0.86144173,0.87054324,0.6632826,0.6839791
211,-86.4726,0.85555845,0.8638339,0.69132984,0.7143542
